code,acronym
PB194,CNPA
PB193,NLFAB
PB192,FPAG
PB191,CRWM
PB190,SE
PB189,BFI
PB188,BLF
PB187,WC
PB186,VB
PB185,UKS
PB184,SGSA
PB183,SJSM
PB182,RAM
PB181,ODA
PB180,NHM
PB179,NPG
PB178,NML
PB177,SMG
PB175,NHMF
PB174,NG
PB172,IWM
PB171,HPMPPT
PB170,GM
PB169,GC
PB168,EH
PB167,BM
PB166,BL
PB165,ACE
PC163,ARB
PB161,HCA
PB160,BRAC
PB158,CSPL
OT152,IDAB
PB148,CAC
PB147,CEL
PB140,CAT
PB139,CO
PB138,UKCES
PB137,UKAEA
PB136,TSB
PB135,STFC
PB134,OFA
PB133,NERC
PB132,MRC
PB131,ECITB
PB130,EPSRC
PB129,ESRC
PB126,CITB
PB124,BHC
PB123,AHRC
PB122,LPC
PB121,CST
PB120,HEFCE
PB118,HBLB
D117,UKTO
D116,
D115,SFO
EA114,RM
D110,ORR
D109,
D108,
D106,
EA104,NSI
D103,GAD
D102,GSA
D101,CPS
OT100,CE
D98,CC
EA87,VOA
EA86,SFA
D85,FC
EA82,UKDMO
EA80,VCA
EA79,VOSA
EA78,MCA
EA77,HA
EA75,DSA
EA74,DVLA
EA73,HMCTS
EA72,OPG
EA71,TNA
EA70,NOMS
D69,HMLR
EA67,UKBA
EA66,HMPO
EA63,MHRA
EA62,WP
EA61,FCOS
EA60,VMD
EA58,RPA
PB57,MMO
EA56,FERA
EA55,FEE
EA54,FR
EA53,CEFAS
EA52,AHVLA
EA51,UKHO
EA50,SPVA
EA49,SCE
EA46,MO
EA44,DSG
EA42,DSTL
EA41,RP
EA40,QECC
EA39,PI
D38,OS
EA37,FSC
EA34,IPO
EA33,NMO
EA32,TIS
EA31,UKSA
D30,TSD
PB29,NFA
PB28,ACAS
PB27,SLC
EA26,CH
D25,HMRC
D24,OSSW
D23,SO
D22,OLHL
D21,OLHC
D20,OAGS
D19,NIO
D18,MOJ
D17,MOD
D16,HO
D15,HMT
D13,FCO
D12,DH
D11,DECC
D10,DWP
D9,DFT
D8,DFID
D7,DEFRA
D6,DFE
D4,DCLG
D3,BIS
D2,CO
D1,AGO
